total,comarca,poblacion
18262.269050802162,comarcaeste,meruelo-vertedero
18434.56550802139,comarcaeste,meruelo-vertedero
18606.86196524062,comarcaeste,meruelo-vertedero
18779.158422459906,comarcaeste,meruelo-vertedero
18951.454879679135,comarcaeste,meruelo-vertedero
19123.751336898422,comarcaeste,meruelo-vertedero
19296.04779411765,comarcaeste,meruelo-vertedero
19468.34425133688,comarcaeste,meruelo-vertedero
19640.640708556166,comarcaeste,meruelo-vertedero
19812.937165775395,comarcaeste,meruelo-vertedero
18163.177857142844,asonpasmiera,mirones
18121.858163265293,asonpasmiera,mirones
18080.538469387742,asonpasmiera,mirones
18039.21877551019,asonpasmiera,mirones
17997.89908163264,asonpasmiera,mirones
17956.57938775509,asonpasmiera,mirones
17915.25969387754,asonpasmiera,mirones
17873.939999999988,asonpasmiera,mirones
17832.620306122437,asonpasmiera,mirones
17791.300612244886,asonpasmiera,mirones
14774.055335968384,comarcaeste,treto
14886.604216073785,comarcaeste,treto
14999.153096179187,comarcaeste,treto
15111.701976284588,comarcaeste,treto
15224.25085638999,comarcaeste,treto
15336.799736495392,comarcaeste,treto
15449.348616600793,comarcaeste,treto
15561.897496706195,comarcaeste,treto
15674.446376811597,comarcaeste,treto
15786.995256916998,comarcaeste,treto
11670.927061310782,santandermetro,parayas-aeropuerto
11674.357293868921,santandermetro,parayas-aeropuerto
11677.787526427062,santandermetro,parayas-aeropuerto
11681.2177589852,santandermetro,parayas-aeropuerto
11684.647991543341,santandermetro,parayas-aeropuerto
11688.07822410148,santandermetro,parayas-aeropuerto
11691.50845665962,santandermetro,parayas-aeropuerto
11694.938689217759,santandermetro,parayas-aeropuerto
11698.368921775898,santandermetro,parayas-aeropuerto
11701.79915433404,santandermetro,parayas-aeropuerto
9340.156003752345,comarcaeste,laredo
9300.554690431527,comarcaeste,laredo
9260.953377110694,comarcaeste,laredo
9221.352063789876,comarcaeste,laredo
9181.750750469044,comarcaeste,laredo
9142.149437148226,comarcaeste,laredo
9102.548123827393,comarcaeste,laredo
9062.946810506575,comarcaeste,laredo
9023.345497185743,comarcaeste,laredo
8983.744183864925,comarcaeste,laredo
-5473.438735177857,pasypisuena,ontaneda g.c.
-5905.372529644286,pasypisuena,ontaneda g.c.
-6337.306324110716,pasypisuena,ontaneda g.c.
-6769.240118577145,pasypisuena,ontaneda g.c.
-7201.173913043574,pasypisuena,ontaneda g.c.
-7633.107707509887,pasypisuena,ontaneda g.c.
-8065.041501976317,pasypisuena,ontaneda g.c.
-8496.975296442746,pasypisuena,ontaneda g.c.
-8928.909090909176,pasypisuena,ontaneda g.c.
-9360.842885375489,pasypisuena,ontaneda g.c.
13253.21120507401,santanderurbano,el mercadillo de lierganes
13191.24171952081,santanderurbano,el mercadillo de lierganes
13129.272233967597,santanderurbano,el mercadillo de lierganes
13067.302748414397,santanderurbano,el mercadillo de lierganes
13005.333262861182,santanderurbano,el mercadillo de lierganes
12943.363777307983,santanderurbano,el mercadillo de lierganes
12881.394291754768,santanderurbano,el mercadillo de lierganes
12819.424806201569,santanderurbano,el mercadillo de lierganes
12757.455320648354,santanderurbano,el mercadillo de lierganes
12695.485835095154,santanderurbano,el mercadillo de lierganes
10198.81758241757,santanderurbano,hoz de anero - la aguera
10104.639560439566,santanderurbano,hoz de anero - la aguera
10010.461538461532,santanderurbano,hoz de anero - la aguera
9916.283516483498,santanderurbano,hoz de anero - la aguera
9822.105494505493,santanderurbano,hoz de anero - la aguera
9727.927472527459,santanderurbano,hoz de anero - la aguera
9633.749450549454,santanderurbano,hoz de anero - la aguera
9539.57142857142,santanderurbano,hoz de anero - la aguera
9445.393406593386,santanderurbano,hoz de anero - la aguera
9351.215384615381,santanderurbano,hoz de anero - la aguera
11176.639663846348,asonpasmiera,vega de pas g.c.
11033.848873770912,asonpasmiera,vega de pas g.c.
10891.058083695418,asonpasmiera,vega de pas g.c.
10748.267293619982,asonpasmiera,vega de pas g.c.
10605.476503544487,asonpasmiera,vega de pas g.c.
10462.68571346905,asonpasmiera,vega de pas g.c.
10319.894923393556,asonpasmiera,vega de pas g.c.
10177.10413331812,asonpasmiera,vega de pas g.c.
10034.313343242626,asonpasmiera,vega de pas g.c.
9891.52255316719,asonpasmiera,vega de pas g.c.
3850.5296442687977,vallenansa,celis
3628.6581027668435,vallenansa,celis
3406.786561264831,vallenansa,celis
3184.915019762877,vallenansa,celis
2963.0434782609227,vallenansa,celis
2741.1719367589103,vallenansa,celis
2519.300395256956,vallenansa,celis
2297.4288537549437,vallenansa,celis
2075.5573122529895,vallenansa,celis
1853.6857707510353,vallenansa,celis
19222.928722440352,liebana,tresviso
19250.83660525521,liebana,tresviso
19278.74448807007,liebana,tresviso
19306.652370884927,liebana,tresviso
19334.56025369979,liebana,tresviso
19362.468136514646,liebana,tresviso
19390.37601932951,liebana,tresviso
19418.283902144365,liebana,tresviso
19446.19178495923,liebana,tresviso
19474.099667774084,liebana,tresviso
5284.055384615436,santandermetro,santander-centro
5106.082393162418,santandermetro,santander-centro
4928.109401709458,santandermetro,santander-centro
4750.13641025644,santandermetro,santander-centro
4572.16341880348,santandermetro,santander-centro
4394.190427350462,santandermetro,santander-centro
4216.217435897503,santandermetro,santander-centro
4038.2444444444845,santandermetro,santander-centro
3860.2714529915247,santandermetro,santander-centro
3682.2984615385067,santandermetro,santander-centro
13243.425429478055,santandermetro,santander-ojaiz
13304.939708939695,santandermetro,santander-ojaiz
13366.45398840135,santandermetro,santander-ojaiz
13427.96826786299,santandermetro,santander-ojaiz
13489.482547324646,santandermetro,santander-ojaiz
13550.996826786286,santandermetro,santander-ojaiz
13612.511106247941,santandermetro,santander-ojaiz
13674.025385709581,santandermetro,santander-ojaiz
13735.539665171236,santandermetro,santander-ojaiz
13797.053944632877,santandermetro,santander-ojaiz
11249.940711462463,santanderurbano,castaneda
11160.944664031616,santanderurbano,castaneda
11071.9486166008,santanderurbano,castaneda
10982.952569169953,santanderurbano,castaneda
10893.956521739135,santanderurbano,castaneda
10804.96047430829,santanderurbano,castaneda
10715.964426877472,santanderurbano,castaneda
10626.968379446625,santanderurbano,castaneda
10537.972332015808,santanderurbano,castaneda
10448.976284584991,santanderurbano,castaneda
21018.14285714284,santanderurbano,lierganes-la ranada
21465.0,santanderurbano,lierganes-la ranada
21911.85714285716,santanderurbano,lierganes-la ranada
22358.71428571432,santanderurbano,lierganes-la ranada
22805.57142857148,santanderurbano,lierganes-la ranada
23252.428571428638,santanderurbano,lierganes-la ranada
23699.285714285797,santanderurbano,lierganes-la ranada
24146.14285714284,santanderurbano,lierganes-la ranada
24593.0,santanderurbano,lierganes-la ranada
25039.85714285716,santanderurbano,lierganes-la ranada
13632.299999999814,santanderurbano,puente viesgo-naturea
13000.199999999953,santanderurbano,puente viesgo-naturea
12368.09999999986,santanderurbano,puente viesgo-naturea
11736.0,santanderurbano,puente viesgo-naturea
11103.899999999907,santanderurbano,puente viesgo-naturea
10471.799999999814,santanderurbano,puente viesgo-naturea
9839.699999999953,santanderurbano,puente viesgo-naturea
9207.59999999986,santanderurbano,puente viesgo-naturea
8575.5,santanderurbano,puente viesgo-naturea
7943.399999999907,santanderurbano,puente viesgo-naturea
3093.5315789473825,liebana,enterrias
2932.5192982456065,liebana,enterrias
2771.5070175438887,liebana,enterrias
2610.4947368421126,liebana,enterrias
2449.482456140395,liebana,enterrias
2288.4701754386188,liebana,enterrias
2127.4578947368427,liebana,enterrias
1966.445614035125,liebana,enterrias
1805.4333333333489,liebana,enterrias
1644.4210526315728,liebana,enterrias
12571.875,liebana,pido
12635.625,liebana,pido
12699.375,liebana,pido
12763.125,liebana,pido
12826.875,liebana,pido
12890.625,liebana,pido
12954.375,liebana,pido
13018.125,liebana,pido
13081.875,liebana,pido
13145.625,liebana,pido
16968.469301215082,santanderurbano,cecenas
17137.356733064866,santanderurbano,cecenas
17306.24416491465,santanderurbano,cecenas
17475.131596764375,santanderurbano,cecenas
17644.01902861416,santanderurbano,cecenas
17812.906460463942,santanderurbano,cecenas
17981.793892313668,santanderurbano,cecenas
18150.68132416345,santanderurbano,cecenas
18319.568756013236,santanderurbano,cecenas
18488.45618786296,santanderurbano,cecenas
15325.440816326503,santanderurbano,solares
15433.497959183645,santanderurbano,solares
15541.555102040787,santanderurbano,solares
15649.61224489793,santanderurbano,solares
15757.669387755072,santanderurbano,solares
15865.726530612214,santanderurbano,solares
15973.783673469385,santanderurbano,solares
16081.840816326527,santanderurbano,solares
16189.897959183669,santanderurbano,solares
16297.95510204081,santanderurbano,solares
9507.700000000186,torrelavega,san vicente-naturea
8929.300000000047,torrelavega,san vicente-naturea
8350.90000000014,torrelavega,san vicente-naturea
7772.5,torrelavega,san vicente-naturea
7194.100000000093,torrelavega,san vicente-naturea
6615.700000000186,torrelavega,san vicente-naturea
6037.300000000047,torrelavega,san vicente-naturea
5458.90000000014,torrelavega,san vicente-naturea
4880.5,torrelavega,san vicente-naturea
4302.100000000093,torrelavega,san vicente-naturea
12158.622441809395,vallenansa,rozadio
12178.876855511637,vallenansa,rozadio
12199.131269213878,vallenansa,rozadio
12219.38568291612,vallenansa,rozadio
12239.640096618361,vallenansa,rozadio
12259.894510320595,vallenansa,rozadio
12280.148924022837,vallenansa,rozadio
12300.403337725078,vallenansa,rozadio
12320.65775142732,vallenansa,rozadio
12340.912165129554,vallenansa,rozadio
3120.611925003759,torrelavega,torrelavega-sniace
2885.398796872585,torrelavega,torrelavega-sniace
2650.185668741411,torrelavega,torrelavega-sniace
2414.9725406102953,torrelavega,torrelavega-sniace
2179.7594124791212,torrelavega,torrelavega-sniace
1944.5462843479472,torrelavega,torrelavega-sniace
1709.3331562167732,torrelavega,torrelavega-sniace
1474.1200280855992,torrelavega,torrelavega-sniace
1238.9068999544252,torrelavega,torrelavega-sniace
1003.6937718232512,torrelavega,torrelavega-sniace
5568.126362625102,santanderurbano,santa maria de cayon g.c.
5326.264071190148,santanderurbano,santa maria de cayon g.c.
